FALL,,,,,,,
Fall 2026 Course Schedule - Undergraduate,,,,,,,
"August 19, 2026 to December 4, 2026",,,,,,,
Changes are in red,,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
PSYC 2311 2,General Psychology,Deborah McGinty,11:30 AM,1:00 PM,Wed,,H - Hybrid
SOCI 2311 1,Introduction to Sociology,Muhammed Cetin,10:00 AM,11:30 AM,Wed,,H - Hybrid
SPAN 1311 1,Elementary Spanish,Orlando Bruzual,,,,,OF - Online Flexible
SPRING,,,,,,,
Spring 2026 Course Schedule - Undergraduate,,,,,,,
"January 14, 2026 to May 8, 2026",,,,,,,
Changes are in red,,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
ACCT 2311 1,Fundamentals of Financial Accounting,Anwar Chowdury,10:00 AM,11:30 AM,"Mon, Wed",822,IP - In Person
ACCT 2312 1,Fundamentals of Managerial Accounting,Anwar Chowdury,8:30 AM,10:00 AM,"Mon, Wed",822,IP - In Person
ARTS 1311 1,Art Appreciation,Amanda Boyaki-Wilson,10:00 AM,11:30 AM,"Mon, Wed",823,IP - In Person
ARTS 3312 1,Essentials of Children’s Art and Music,Amanda Boyaki-Wilson,8:30 AM,10:00 AM,"Tues, Thur",823,IP - In Person
BIOL 1311 1,Introductory Biology,Mounira Morgem,,,,,OF - Online Flexible
BIOL 1312 1,Nutrition,Mounira Morgem,,,,,OF - Online Flexible
BUSI 2311 1,Business Statistics,Riaz Mahmood,1:00 PM,2:30 PM,"Mon, Wed",823,IP - In Person
BUSI 2312 1,Mathematical Applications in Business,Alina Rajbhandari,10:00 AM,11:30 AM,"Tues, Thur",824,IP - In Person
BUSI 3315 1,Business Law,Richard Alrayes,,,,,OF - Online Flexible
BUSI 4316 1,International Business,Yaseen Bhutto,8:30 AM,10:00 AM,Wed,826,H - Hybrid
BUSI 4317 1,Business Policy and Strategy,Yaseen Bhutto,3:30 PM,5:00 PM,Mon,822,H - Hybrid
BUSI 4399 1,Internship,TBD,,,,,I - Internship
COMM 1311 1,Fundamentals of Communication,James Keller,10:00 AM,11:30 AM,"Mon, Wed",826,IP - In Person
COMM 1311 2,Fundamentals of Communication,James Keller,,,,,OF - Online Flexible
